name,clazz,w.w0,a.a0,e.c0.e0,e.c0.e1,e.c0.e2,e.c0.e3,e.c0.e4,gd.o0,gd.c0,gt.o0,gt.c0,tx.o0,tx.c0,info.n,info.target,info.targetType,info.allTypes,gd.o1,gt.o1,tx.o1,gd.o2,gt.o2,tx.o2,gd.o3,gt.o3,tx.o3
Random0,PresentSync,0,1603088365,1603088423,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,276262,1614059,42830,322996,2,5,5,4,EXPLICIT,EXPLICIT:EXPLICIT:TIMER:TIMER:CONDITIONAL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random0,PresentSyncCond,0,1603088789,1603088850,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,408130,1588847,42830,325784,2,5,5,4,EXPLICIT,EXPLICIT:EXPLICIT:TIMER:TIMER:CONDITIONAL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random0,PresentAsync,0,1603089235,1603089291,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1685115,119422,299624,3,5,5,4,EXPLICIT,EXPLICIT:EXPLICIT:TIMER:TIMER:CONDITIONAL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random0,PresentAsyncCond,0,1603089662,1603089721,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1659775,117029,304009,3,5,5,4,EXPLICIT,EXPLICIT:EXPLICIT:TIMER:TIMER:CONDITIONAL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random0,FutureAsyncCond,0,1603090090,1603090134,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1673264,22762,328140,2,5,5,4,EXPLICIT,EXPLICIT:EXPLICIT:TIMER:TIMER:CONDITIONAL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random0,FutureAsync,0,1603090516,1603090568,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1759930,109998,298320,3,5,5,4,EXPLICIT,EXPLICIT:EXPLICIT:TIMER:TIMER:CONDITIONAL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random0,PastAsync,0,1603090942,1603091000,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1775603,131760,275926,3,5,5,4,EXPLICIT,EXPLICIT:EXPLICIT:TIMER:TIMER:CONDITIONAL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random0,PastAsyncCond,0,1603091374,1603091423,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1631004,129881,280331,3,5,5,4,EXPLICIT,EXPLICIT:EXPLICIT:TIMER:TIMER:CONDITIONAL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random0,PastSync,0,1603091803,1603091859,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,466709,1703596,88419,328966,2,5,5,4,EXPLICIT,EXPLICIT:EXPLICIT:TIMER:TIMER:CONDITIONAL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random0,PastSyncCond,0,1603092239,1603092290,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,552095,1569520,88419,335633,2,5,5,4,EXPLICIT,EXPLICIT:EXPLICIT:TIMER:TIMER:CONDITIONAL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random1,PresentSync,3,1603092679,1603093037,1603092799,1603092859,1603093037,1603092979,276262,1660531,42830,302197,2,3,5,3,CONDITIONAL,CONDITIONAL:TIMER:TIMER:CONDITIONAL:TIMER,276262,42830,2,undefined,undefined,undefined,undefined,undefined,undefined
Random1,PresentSyncCond,3,1603093113,1603093473,1603093233,1603093293,1603093473,1603093413,408130,1635319,42830,307773,2,3,5,3,CONDITIONAL,CONDITIONAL:TIMER:TIMER:CONDITIONAL:TIMER,408130,42830,2,undefined,undefined,undefined,undefined,undefined,undefined
Random1,PresentAsync,3,1603093546,1603093907,1603093666,1603093726,1603093907,1603093846,280678,1731587,119568,243414,3,3,5,3,CONDITIONAL,CONDITIONAL:TIMER:TIMER:CONDITIONAL:TIMER,280678,90638,3,undefined,undefined,undefined,undefined,undefined,undefined
Random1,PresentAsyncCond,3,1603093979,1603094321,1603094099,1603094159,1603094321,1603094279,280678,1706247,91630,252160,3,3,5,3,CONDITIONAL,CONDITIONAL:TIMER:TIMER:CONDITIONAL:TIMER,280678,117303,3,undefined,undefined,undefined,undefined,undefined,undefined
Random1,FutureAsyncCond,0,1603094416,1603094477,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1719736,80415,237678,2,3,5,3,CONDITIONAL,CONDITIONAL:TIMER:TIMER:CONDITIONAL:TIMER,280678,22762,2,undefined,undefined,undefined,undefined,undefined,undefined
Random1,FutureAsync,0,1603094861,1603094917,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1806402,174685,187701,3,3,5,3,CONDITIONAL,CONDITIONAL:TIMER:TIMER:CONDITIONAL:TIMER,280678,99377,3,undefined,undefined,undefined,undefined,undefined,undefined
Random1,PastAsync,0,1603095299,1603095359,1603095419,1603095479,1603095539,1603095599,280678,1822075,135034,221162,3,3,5,3,CONDITIONAL,CONDITIONAL:TIMER:TIMER:CONDITIONAL:TIMER,280678,96581,3,undefined,undefined,undefined,undefined,undefined,undefined
Random1,PastAsyncCond,0,1603095727,1603095788,1603095847,1603095907,1603095968,1603096027,280678,1677476,107452,229948,3,3,5,3,CONDITIONAL,CONDITIONAL:TIMER:TIMER:CONDITIONAL:TIMER,280678,113198,3,undefined,undefined,undefined,undefined,undefined,undefined
Random1,PastSync,0,1603096172,1603096228,1603096292,1603096352,1603096403,1603096472,466709,1750068,88419,325638,2,3,5,3,CONDITIONAL,CONDITIONAL:TIMER:TIMER:CONDITIONAL:TIMER,466709,88419,2,undefined,undefined,undefined,undefined,undefined,undefined
Random1,PastSyncCond,0,1603096606,1603096629,1603096726,1603096786,1603096842,1603096906,552095,1616056,88419,323062,2,3,5,3,CONDITIONAL,CONDITIONAL:TIMER:TIMER:CONDITIONAL:TIMER,552095,88419,2,undefined,undefined,undefined,undefined,undefined,undefined
Random2,PresentSync,4,1603097044,1603097104,1603097164,1603097224,1603097344,1603097344,276262,1614059,42830,314142,2,4,5,4,TIMER,TIMER:TIMER:TIMER:CONDITIONAL:EXPLICIT,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random2,PresentSyncCond,4,1603097473,1603097533,1603097593,1603097653,1603097770,1603097770,408130,1588847,42830,316930,2,4,5,4,TIMER,TIMER:TIMER:TIMER:CONDITIONAL:EXPLICIT,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random2,PresentAsync,4,1603097913,1603097973,1603098033,1603098093,1603098204,1603098204,280678,1685115,119696,289534,3,4,5,4,TIMER,TIMER:TIMER:TIMER:CONDITIONAL:EXPLICIT,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random2,PresentAsyncCond,4,1603098349,1603098409,1603098469,1603098529,1603098642,1603098642,280678,1659775,117303,293913,3,4,5,4,TIMER,TIMER:TIMER:TIMER:CONDITIONAL:EXPLICIT,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random2,FutureAsyncCond,0,1603098771,1603098831,1603098891,1603098951,1603099012,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1673264,81175,252848,2,4,5,4,TIMER,TIMER:TIMER:TIMER:CONDITIONAL:EXPLICIT,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random2,FutureAsync,0,1603099202,1603099262,1603099322,1603099382,1603099441,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1759930,175440,222125,3,4,5,4,TIMER,TIMER:TIMER:TIMER:CONDITIONAL:EXPLICIT,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random2,PastAsync,0,1603099648,1603099708,1603099768,1603099828,1603099887,1603099947,280678,1775603,134530,265852,3,4,5,4,TIMER,TIMER:TIMER:TIMER:CONDITIONAL:EXPLICIT,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random2,PastAsyncCond,0,1603100086,1603100146,1603100206,1603100266,1603100327,1603100387,280678,1631004,128170,270252,3,4,5,4,TIMER,TIMER:TIMER:TIMER:CONDITIONAL:EXPLICIT,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random2,PastSync,0,1603100568,1603100628,1603100688,1603100748,1603100794,1603100866,466709,1703596,88419,329991,2,4,5,4,TIMER,TIMER:TIMER:TIMER:CONDITIONAL:EXPLICIT,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random2,PastSyncCond,0,1603101023,1603101083,1603101143,1603101203,1603101263,1603101318,552095,1569584,88419,328707,2,4,5,4,TIMER,TIMER:TIMER:TIMER:CONDITIONAL:EXPLICIT,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Random3,PresentSync,1,1603101457,1603101578,1603101578,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,276262,1706811,42830,328750,2,5,5,3,CONDITIONAL,CONDITIONAL:EXPLICIT:CONDITIONAL:CONDITIONAL:EXPLICIT,276262,42830,2,276262,42830,2,undefined,undefined,undefined
Random3,PresentSyncCond,1,1603101888,1603102004,1603102004,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,408130,1681663,42830,337114,2,5,5,3,CONDITIONAL,CONDITIONAL:EXPLICIT:CONDITIONAL:CONDITIONAL:EXPLICIT,408130,42830,2,408130,42830,2,undefined,undefined,undefined
Random3,PresentAsync,1,1603102321,1603102439,1603102439,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1777931,92854,241578,3,5,5,3,CONDITIONAL,CONDITIONAL:EXPLICIT:CONDITIONAL:CONDITIONAL:EXPLICIT,280678,119422,3,280678,91536,3,undefined,undefined,undefined
Random3,PresentAsyncCond,1,1603102754,1603102869,1603102869,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1752591,101723,252600,3,5,5,3,CONDITIONAL,CONDITIONAL:EXPLICIT:CONDITIONAL:CONDITIONAL:EXPLICIT,280678,89726,3,280678,104592,3,undefined,undefined,undefined
Random3,FutureAsyncCond,0,1603103206,1603103266,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1766080,64839,267381,2,5,5,3,CONDITIONAL,CONDITIONAL:EXPLICIT:CONDITIONAL:CONDITIONAL:EXPLICIT,280678,22762,2,280678,22762,2,undefined,undefined,undefined
Random3,FutureAsync,0,1603103648,1603103705,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1852746,129131,200845,3,5,5,3,CONDITIONAL,CONDITIONAL:EXPLICIT:CONDITIONAL:CONDITIONAL:EXPLICIT,280678,86191,3,280678,99706,3,undefined,undefined,undefined
Random3,PastAsync,0,1603104078,1603104139,1603104168,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1868419,98797,222168,3,5,5,3,CONDITIONAL,CONDITIONAL:EXPLICIT:CONDITIONAL:CONDITIONAL:EXPLICIT,280678,110622,3,280678,116237,3,undefined,undefined,undefined
Random3,PastAsyncCond,0,1603104512,1603104572,1603104624,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129639935,280678,1723820,92434,232058,3,5,5,3,CONDITIONAL,CONDITIONAL:EXPLICIT:CONDITIONAL:CONDITIONAL:EXPLICIT,280678,129330,3,280678,93182,3,undefined,undefined,undefined
